,Lon,Lat,Alt,Eco,FROM,Region,flux,MAT
236,119.98,30.08,29,Forest,N-SRDB,China,1286.278,17.7939935
237,119.57,30.3,185,Forest,N-SRDB,China,1144,17.28999351
238,119.67,30.48,380,Forest,N-SRDB,China,1181,12.39499362
239,119.66,30.46,380,Forest,N-SRDB,China,1201.91,12.62999361
240,92.93,34.82,4635,Grassland,N-SRDB,China,597.041666666667,-3.515006025
241,101.2,37.62,3200,Grassland,N-SRDB,China,970.915,0.204539347
242,91.08,30.85,4333,Grassland,N-SRDB,China,945.958,-0.507733365
243,111.89,41.78,NA,Grassland,N-SRDB,China,575.567857142857,4.78499379
244,102.37,32.45,3561,Grassland,N-SRDB,China,469.59,2.362266571
245,111.88,41.78,NA,Grassland,N-SRDB,China,581.531538461539,4.78499379
246,101.2,37.48,NA,Grassland,N-SRDB,China,1729.21117647059,-3.60227875
247,118.37,45.95,NA,Grassland,N-SRDB,China,447.976666666667,0.029084805
248,116.37,42.2,NA,Grassland,N-SRDB,China,775.26,3.106357463
249,111.87,41.87,NA,Grassland,N-SRDB,China,888.116666666667,4.403175616
250,116.7,43.63,1200,Grassland,N-SRDB,China,624.485,2.33544839
251,114.5,27.5,NA,Forest,N-SRDB,China,631,17.53362987
252,112.9,22.7,NA,Forest,N-SRDB,China,497,22.65317521
253,115.1,26.7,NA,Forest,N-SRDB,China,554,19.5213571
254,114.6,36.9,NA,Cropland,N-SRDB,China,476,14.85726629
255,90,31.2,NA,Grassland,N-SRDB,China,51,-0.351369732
256,91.1,30.9,NA,Grassland,N-SRDB,China,369,-0.507733365
257,101.3,37.6,NA,Grassland,N-SRDB,China,820.161538461538,0.513560318846154
258,102,29.7,NA,Forest,N-SRDB,China,864.166666666667,-10.41182405
259,103,30.5,NA,Forest,N-SRDB,China,824.833333333333,4.585902885
260,108.1,34.3,NA,Cropland,N-SRDB,China,426,14.32772085
261,110.9,23.5,NA,Forest,N-SRDB,China,922.5,21.97272068
262,111.9,33.5,NA,Forest,N-SRDB,China,868.714285714286,11.87979883
263,112.4,23.3,NA,Forest,N-SRDB,China,578,22.04362977
264,115.5,43.9,NA,Cropland,N-SRDB,China,390,3.193630189
265,115.4,40,NA,Forest,N-SRDB,China,273,8.632266431
266,116.1,43.4,NA,Cropland,N-SRDB,China,212.29,1.966812034
267,116.9,28.3,NA,Cropland,N-SRDB,China,662.5,19.00272074
268,120.4,29.9,NA,Forest,N-SRDB,China,640.333333333333,18.17044804
269,124.9,41.9,NA,Forest,N-SRDB,China,498.333333333333,3.713175632
