NO,Scale,Lon,Lat,Eco,flux,Observed temperature,T,LAI,SWC,SOC,MAT,TT
107,Yearly,127.67,45.4,Forest,583.7246667,1.343660533,2,2.436297907,0.114737544,0.74,1.334730709,2Y
108,Yearly,126.13,47.1,Cropland,517.1666667,4.183327136,2,0.799637681,0.09458773,1.95,3.773678023,2Y
109,Yearly,108.84,18.63,Forest,684.6333333,22.3099934,6,3.782608696,0.370724897,0.98,22.78104602,6Y
110,Yearly,108.88,18.61,Forest,1673,22.1499934,6,7.13673913,0.496046968,0.73,22.78104602,6Y
111,Yearly,108.84,18.61,Forest,1239,22.2699934,6,3.507608696,0.375785692,0.98,22.78104602,6Y
113,Yearly,110.08,21.27,Forest,1022.5,23.86999336,6,1.369782609,0.273282955,2.25,23.65999337,6Y
114,Yearly,112.83,22.62,Forest,639.87,21.94999341,6,2.630222222,0.427219412,0.98,22.68157234,6Y
115,Yearly,114.18,22.58,Forest,1887,23.03999338,6,0.454347826,0.262083008,0.98,23.40525653,6Y
116,Yearly,112.54,23.17,Forest,961.5758333,22.77832672,6,4.597415862,0.289902754,1,22.81104602,6Y
117,Yearly,112.54,23.18,Forest,992.1142857,22.9342791,6,4.377453417,0.277224645,1,22.81104602,6Y
118,Yearly,112.55,23.17,Forest,777.7406667,22.98799338,6,4.669217392,0.283660085,0,22.81104602,6Y
119,Yearly,112.39,23.17,Forest,1027.443333,22.4549934,6,3.356413044,0.171756985,1.26,22.35367761,6Y
120,Yearly,112.57,23.17,Forest,1021.57,22.81599339,6,4.506869566,0.368322724,0,22.81104602,6Y
121,Yearly,113.37,23.32,Forest,703.88,22.44999339,6,0.58326087,0.252993,1.26,22.48999339,6Y
122,Yearly,113.79,23.33,Forest,772.91,21.09999342,6,2.493913043,0.18132749,0.98,20.76051975,6Y
123,Yearly,113.78,23.33,Forest,838.64,21.09999342,6,2.493913043,0.18132749,0.98,20.76051975,6Y
124,Yearly,113.44,25.23,Forest,1083,15.59999355,5,3.567608696,0.13750095,1.8,15.79894091,5Y
125,Yearly,113.46,25.22,Forest,1572,15.59999355,5,3.22173913,0.140000138,1.12,15.79894091,5Y
126,Yearly,100.83,21.82,Forest,1460.23,21.28999342,6,3.286,0.04874406,1.26,21.21894079,6Y
127,Yearly,101.27,21.93,Forest,1010.919167,22.51249339,6,3.17682971,0.06582796,1.17,22.57946708,6Y
128,Yearly,100.63,22.18,Forest,1450,20.55999344,6,4.820434783,0.069553181,0.98,20.21262502,6Y
129,Yearly,109.33,21.74,Forest,1030.04,22.91999338,6,1.016956522,0.278051325,1.02,23.04630917,6Y
130,Yearly,106.83,22.17,Forest,829.6163636,21.70681159,6,2.604120553,0.094896185,0.98,21.64525657,6Y
131,Yearly,106.94,22.46,Forest,1489.36,21.67999341,6,3.500434783,0.094041627,1.2,21.14104606,6Y
132,Yearly,108.14,22.62,Forest,858.73,21.32999342,6,3.127826087,0.158667677,1,21.46104605,6Y
133,Yearly,107.48,23.6,Forest,1104.554,20.49999344,6,1.899565217,0.11273561,1.2,20.99999343,6Y
134,Yearly,110.13,24.94,Forest,842.91,18.60999348,5,2.552608696,0.170335846,1.24,18.08315139,5Y
135,Yearly,110.27,25.59,Forest,791.418,19.35999346,5,5.756521739,0.100565946,1.24,18.92630926,5Y
136,Yearly,116.41,25.68,Forest,1342.75,19.05999347,5,1.833369565,0.112763063,1.12,19.48104609,5Y
137,Yearly,117.4,23.63,Forest,1234,23.07999338,6,1.183695652,NA,NA,22.26736182,6Y
138,Yearly,119.67,25.97,Forest,1041.344444,20.55999344,6,0.758478261,NA,0.4,20.5889408,6Y
139,Yearly,117.47,26.15,Forest,1127.775,19.84999345,5,4.638888889,0.128785909,1.24,20.35999344,5Y
140,Yearly,117.47,26.18,Forest,1212.118182,20.21503476,6,4.215703997,0.083695236,1.24,20.35999344,6Y
141,Yearly,117.6,26.32,Forest,971.2172222,18.3111046,5,4.444305958,0.075513716,1.24,18.52788822,5Y
142,Yearly,119.08,26.21,Forest,806.06,20.99999343,6,2.733913043,0.088523924,1.24,21.05104606,6Y
143,Yearly,117.47,26.16,Forest,1262.95,20.44285058,6,4.584409938,0.063018354,1.24,20.35999344,6Y
144,Yearly,117.95,26.47,Forest,926.9808333,20.06999345,6,4.59826087,0.105037806,1.24,19.89736187,6Y
145,Yearly,118.17,26.67,Forest,890.4293333,19.27799347,5,3.251857005,0.070694074,1.24,19.48999346,5Y
146,Yearly,117.98,26.8,Forest,878.59,18.98999347,5,4.204782609,0.100241867,1.12,19.5847303,5Y
147,Yearly,118.19,26.94,Forest,1391,19.60999346,5,4.043913043,0.122637112,1.24,19.14051978,5Y
148,Yearly,118.38,27.07,Forest,1063.31,19.94726618,5,2.440948616,0.110605382,1.24,19.87367766,5Y
149,Yearly,107.98,25.25,Forest,973.5,15.87999354,5,2.706613527,0.076743919,1.2,16.5826251,5Y
150,Yearly,106.77,26.53,Forest,1174.975,14.77499357,5,0.947173914,0.073517426,2.13,14.93367777,5Y
151,Yearly,115.05,26.73,Forest,743.4666667,19.29666013,5,1.886449275,0.184697241,1.12,19.39157241,5Y
152,Yearly,115.06,26.74,Forest,696.2665217,19.20868912,5,2.271483932,0.163771261,1.12,19.39157241,5Y
153,Yearly,115.07,26.73,Forest,477.975,19.49999346,5,2.127608696,0.14762463,1.12,19.39157241,5Y
154,Yearly,115.06,26.75,Forest,584,19.34499347,5,2.121195653,0.160580072,1.12,19.39157241,5Y
155,Yearly,114.63,27.67,Forest,865.4372727,17.83317532,5,3.947401186,0.182632376,1.24,17.90894086,5Y
156,Yearly,115.71,29.29,Forest,624.41,19.89999345,5,2.50173913,0.323172805,1.12,19.48630925,5Y
157,Yearly,109.78,26.91,Forest,570,17.5499935,5,2.08826087,0.114844624,1.8,17.10209878,5Y
158,Yearly,109.6,26.83,Forest,508.04,15.62999355,5,3.126,0.079394255,1.24,16.29788827,5Y
159,Yearly,109.43,26.67,Forest,507.2484615,15.58537816,5,3.485682646,0.092219816,1.8,15.5784146,5Y
160,Yearly,110.13,27.15,Forest,585,16.46999353,5,3.347173913,0.093006606,1.24,16.20841459,5Y
161,Yearly,113.03,28.11,Forest,754.7875,18.42832682,5,0.428327295,0.140262275,1.12,18.32104612,5Y
162,Yearly,113.04,28.11,Forest,902.7118182,18.58726621,5,0.362753623,0.11296124,1.12,18.32104612,5Y
163,Yearly,113.31,28.41,Forest,364.39,17.41999351,5,1.518,0.231573775,1.24,17.65841455,5Y
164,Yearly,118.11,29.21,Forest,593.3333333,13.2399936,5,4.136521739,0.072689618,3.07,13.75683569,5Y
165,Yearly,118.24,29.34,Forest,295.67,15.19999356,5,4.979555556,0.087539413,1.16,16.00630933,5Y
